GHO (CODE),GHO (DISPLAY),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value
TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),2006-01-01,2006,2006,AFR,Africa,KEN,Kenya,,,,52.0,52
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",2000-01-01,2000,2000,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,2.17215,2.2 [1.2-3.5]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2014-01-01,2014,2014,AFR,Africa,KEN,Kenya,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.07214,0.1
AIR_62,"Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized)",2015-01-01,2015,2015,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,46.23,46 [39-53]
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),2018-01-01,2018,2018,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,57.88585,57.9 [57.1-58.7]
SA_0000001823,"Alcohol, tourist consumption (in litres of pure alcohol), three-year average",2019-01-01,2019,2019,AFR,Africa,KEN,Kenya,,,,-0.00824,0.0 [-0.1 - 0.1]
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),2002-01-01,2002,2002,AFR,Africa,KEN,Kenya,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,21.01718,21
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2003-01-01,2003,2003,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,5.8,5.8 [5.1-6.6]
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",2004-01-01,2004,2004,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,8.54489,8.5 [3.9-15.3]
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),2005-01-01,2005,2005,AFR,Africa,KEN,Kenya,SEVERITY,SEVERITY_SEVERE,Severe,105.0,105 [37.8-202]
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2011-01-01,2011,2011,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,9.01078,9.0 [6.6-12.1]
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2016-01-01,2016,2016,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,10.37381,10.4 [8.2-12.7]
AIR_60,Household and ambient air pollution attributable DALYs,2014-01-01,2014,2014,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,1102541.037,1 102 541 [958 098-1 240 825]
Adult_daily_smokeless,Prevalence of daily smokeless tobacco use among adults (%),2015-01-01,2015,2015,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,2.8,2.8
CM_04,Number of deaths among children ages 5 to 9 years,2010-01-01,2010,2010,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,3990.0,3990 [3352-4710]
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",1999-01-01,1999,1999,AFR,Africa,KEN,Kenya,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,61.4,61.4 [37.9 - 81.8]
MORT_200,Deaths per 1 000 live births,2008-01-01,2008,2008,AFR,Africa,KEN,Kenya,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,2.66878,2.7
CM_03,Number of neonatal deaths,2010-01-01,2010,2010,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,32197.0,32 197 [29 017-35 646]
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2005-01-01,2005,2005,AFR,Africa,KEN,Kenya,AGEGROUP,AGEGROUP_MONTHS6-59,6 to 59 months,7.9,7.9 [7.0-8.9]
NUT_CF_MDD,Minimum dietary diversity 6-23 months,2014-01-01,2014,2014,AFR,Africa,KEN,Kenya,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_TOP80,Wealth - Top 80%,42.2,42.2 [39.0-45.4]
HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,1996-01-01,1996,1996,AFR,Africa,KEN,Kenya,,,,180000.0,180 000 [140 000 - 230 000]
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2018-01-01,2018,2018,AFR,Africa,KEN,Kenya,SEVERITY,SEVERITY_MILD,Mild,2140.0,2140 [1090-3340]
NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),2003-01-01,2003,2003,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,8.15144,8.2 [4.0-14.2]
NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010-01-01,2010,2010,AFR,Africa,KEN,Kenya,SEVERITY,SEVERITY_MILD,Mild,16.2,16.2 [10.6-23.0]
